Comment,Designator,Footprint,LCSC,Quantity
0.1µF,"C4,C5,C6,C7,C9",C_0402_1005Metric,C1525,5
0.1Ω 1%,R4,R_1206_3216Metric,C25334,1
10kΩ,"R10,R12,R3,R5,R6,R8",R_0402_1005Metric,C25744,6
10µF,"C1,C8",C_0603_1608Metric,C96446,2
1kΩ,R1,R_0402_1005Metric,C11702,1
1µF,"C2,C3",C_0402_1005Metric,C52923,2
20kΩ,"R11,R7,R9",R_0402_1005Metric,C25764,3
4.7kΩ,R2,R_0402_1005Metric,C25900,1
600Ω@100MHz,FB1,L_0603_1608Metric,C1002,1
AO3401A,Q1,SOT-23,C15127,1
CH32V006F8U6,U4,UQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,C42431288,1
DRV8837DSGR-JSM,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C22447132,1
NTC 10k,TH1,R_0402_1005Metric,C77131,1
PESD5V0L1UL,D1,D_SOD-882,C3001948,1
SN74LVC1G07DRLR_C19829624,U2,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,C19829624,1
TPAP2210K-3.3TRG1,U1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C49190789,1
