Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0603_1608Metric,105.99,-99.225,0.0,bottom
C2,1µF,C_0402_1005Metric,108.57,-98.78,-90.0,top
C3,1µF,C_0402_1005Metric,109.3,-98.78,-90.0,top
C4,0.1µF,C_0402_1005Metric,107.73,-91.06,90.0,top
C5,0.1µF,C_0402_1005Metric,102.96,-98.64,180.0,top
C6,0.1µF,C_0402_1005Metric,103.22,-93.4,180.0,top
C7,0.1µF,C_0402_1005Metric,101.6,-93.41,0.0,top
C8,10µF,C_0603_1608Metric,102.105,-93.16,180.0,bottom
C9,0.1µF,C_0402_1005Metric,109.82,-93.12,90.0,top
D1,ESD,D_SOD-882,110.63864,-91.616694,51.341,top
FB1,600Ω@100MHz,L_0603_1608Metric,103.44,-90.78,0.0,bottom
Q1,AO3401A,SOT-23,108.31,-91.66,180.0,bottom
R1,10kΩ,R_0402_1005Metric,106.32,-90.62,0.0,top
R10,10kΩ,R_0402_1005Metric,104.65,-90.62,0.0,top
R11,20kΩ,R_0402_1005Metric,102.98,-99.38,0.0,top
R12,10kΩ,R_0402_1005Metric,104.65,-99.38,0.0,top
R13,47kΩ,R_0402_1005Metric,108.32,-92.33,180.0,top
R2,4.7kΩ,R_0402_1005Metric,102.955,-97.3675,-90.0,top
R3,10kΩ,R_0402_1005Metric,102.52,-91.83,-90.0,top
R4,0.1Ω 1%,R_1206_3216Metric,102.215,-95.7625,90.0,bottom
R5,10kΩ,R_0402_1005Metric,108.52,-97.47,180.0,top
R6,10kΩ,R_0402_1005Metric,110.04,-98.19,90.0,top
R7,20kΩ,R_0402_1005Metric,106.41,-99.38,180.0,top
R8,10kΩ,R_0402_1005Metric,106.41,-98.62,0.0,top
R9,20kΩ,R_0402_1005Metric,102.98,-90.62,0.0,top
TH1,NTC 10k,R_0402_1005Metric,107.69,-98.91,-90.0,top
U1,TPAP2210K-3.3TRG1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,108.57,-98.09,270.0,bottom
U2,SN74LVC2G07DRYR(UMW),SON-6_L1.5-W1.0-P0.50-BL,108.99,-90.95,90.0,top
U3,DRV8837DSGR-JSM,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,102.23,-95.0,0.0,top
U4,CH32V006F8U6,UQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,107.5,-95.0,90.0,top
